source_position,local_index,transaction_num,predicted_value,actual_value,rank,feature,feature_value,shap_value,abs_shap_value,running_value_before,running_value_after
470,470,237be78a39d0f02c3ac749952f5cfd8c3b7268dffbee82500006fba45517066c,1410887.3379159947,1387000.0,18,month_cos,1.0,5580.9316910240195,5580.9316910240195,1403693.1389634323,1409274.0706544563
470,470,237be78a39d0f02c3ac749952f5cfd8c3b7268dffbee82500006fba45517066c,1410887.3379159947,1387000.0,19,has_parking,1.0,4389.862916512053,4389.862916512053,1409274.0706544563,1413663.9335709682
470,470,237be78a39d0f02c3ac749952f5cfd8c3b7268dffbee82500006fba45517066c,1410887.3379159947,1387000.0,20,usage_Residential,1.0,-3709.422866326998,3709.422866326998,1413663.9335709682,1409954.5107046412
470,470,237be78a39d0f02c3ac749952f5cfd8c3b7268dffbee82500006fba45517066c,1410887.3379159947,1387000.0,21,nearest_mall,18514.27134372089,-3527.504286398302,3527.504286398302,1409954.5107046412,1406427.0064182428
470,470,237be78a39d0f02c3ac749952f5cfd8c3b7268dffbee82500006fba45517066c,1410887.3379159947,1387000.0,22,usage_Other,0.0,2415.753521642926,2415.753521642926,1406427.0064182428,1408842.7599398857
470,470,237be78a39d0f02c3ac749952f5cfd8c3b7268dffbee82500006fba45517066c,1410887.3379159947,1387000.0,23,month_sin,-2.4492935982947064e-16,2199.021239582844,2199.021239582844,1408842.7599398857,1411041.7811794686
470,470,237be78a39d0f02c3ac749952f5cfd8c3b7268dffbee82500006fba45517066c,1410887.3379159947,1387000.0,24,prop_type_Villa,0.0,-93.03118571244607,93.03118571244607,1411041.7811794686,1410948.7499937562
470,470,237be78a39d0f02c3ac749952f5cfd8c3b7268dffbee82500006fba45517066c,1410887.3379159947,1387000.0,25,usage_Hospitality_,0.0,-87.92873618762823,87.92873618762823,1410948.7499937562,1410860.8212575687
470,470,237be78a39d0f02c3ac749952f5cfd8c3b7268dffbee82500006fba45517066c,1410887.3379159947,1387000.0,26,procedure_Other,0.0,26.43940965490008,26.43940965490008,1410860.8212575687,1410887.2606672235
470,470,237be78a39d0f02c3ac749952f5cfd8c3b7268dffbee82500006fba45517066c,1410887.3379159947,1387000.0,27,usage_Multi_Use,0.0,0.0,0.0,1410887.2606672235,1410887.2606672235
470,470,237be78a39d0f02c3ac749952f5cfd8c3b7268dffbee82500006fba45517066c,1410887.3379159947,1387000.0,28,usage_Industrial,0.0,0.0,0.0,1410887.2606672235,1410887.2606672235
470,470,237be78a39d0f02c3ac749952f5cfd8c3b7268dffbee82500006fba45517066c,1410887.3379159947,1387000.0,29,usage_Storage,0.0,0.0,0.0,1410887.2606672235,1410887.2606672235
470,470,237be78a39d0f02c3ac749952f5cfd8c3b7268dffbee82500006fba45517066c,1410887.3379159947,1387000.0,30,procedure_Sell_Development,0.0,0.0,0.0,1410887.2606672235,1410887.2606672235
471,471,23b78b468e7445fe3729605589b5fdd8221a853ef383ffe589568f6791f9c268,2080323.2137618603,2260000.0,1,procedure_area,82.82,-785427.1432686591,785427.1432686591,1984339.7348785633,1198912.591609904
471,471,23b78b468e7445fe3729605589b5fdd8221a853ef383ffe589568f6791f9c268,2080323.2137618603,2260000.0,2,community_30d_avg_price,27938.278142076502,475368.2460597183,475368.2460597183,1198912.591609904,1674280.8376696224
